p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.12479701874232e-74	0.916508905160442	1	1	1.37959053378245e-69	0	RPL30
1.54261075374736e-71	0.872106380074094	1	0.998	2.61935305986301e-67	0	RPS14
3.12110760111916e-70	0.919787852083529	1	0.998	5.29964070670034e-66	0	RPS15A
8.26611796979938e-70	0.897483269401748	1	1	1.40358683127194e-65	0	RPL32
1.35926612570412e-69	1.01449364815204	1	0.997	2.3080338814456e-65	0	RPS27
3.95309967442229e-69	0.915744210277118	1	0.998	6.71236324716905e-65	0	RPS3A
9.39445446762252e-69	1.29790808847987	0.929	0.274	1.5951783686023e-64	0	LEF1
2.64537156504439e-68	1.41638327606605	0.967	0.427	4.49184091744538e-64	0	TCF7
3.38257222845832e-66	0.779272397622583	1	1	5.74360764392222e-62	0	RPL35A
2.23654331596214e-65	0.787900807767228	1	1	3.79765055050371e-61	0	RPL11
4.69854182536976e-65	0.76974477978954	1	1	7.97812401947786e-61	0	RPL34
6.93431116973862e-63	0.76087868719379	1	0.998	1.17744603662162e-58	0	RPL37
3.40612366327961e-62	0.722706735534583	1	1	5.78359798024877e-58	0	RPS13
1.87199549915601e-61	1.11343990649039	0.996	0.752	3.1786483575669e-57	0	SARAF
3.39714911856737e-60	0.93253147826556	1	0.998	5.7683592033274e-56	0	RPS12
7.24870404583648e-60	0.9162139349689	1	1	1.23082994698303e-55	0	RPS25
7.39019973882438e-60	0.844925901489768	1	0.998	1.25485591565238e-55	0	RPS27A
4.70328557413832e-58	0.749720080929993	1	0.998	7.98617890488686e-54	0	RPL19
1.28579975728477e-57	0.659901472743307	1	1	2.18328798786953e-53	0	RPS28
5.7165635552705e-56	0.64836632222947	1	1	9.70672491684931e-52	0	RPL39
1.85111326241891e-55	0.771151514262614	1	0.998	3.14319031958731e-51	0	RPS23
3.68075649340642e-55	1.21768446625414	0.879	0.323	6.24992452580411e-51	0	CCR7
1.07126527806778e-54	0.744284330056074	1	0.998	1.81900844215909e-50	0	RPS8
8.24968916644111e-54	0.81329728097723	1	0.997	1.4007972204617e-49	0	RPL5
1.15500370971449e-53	0.849793142137504	1	0.998	1.9611962990952e-49	0	RPS3
1.60382238129281e-53	0.758499774354768	1	0.998	2.72329040343518e-49	0	RPS21
5.06089800387924e-53	0.771070087906606	1	0.998	8.59340481058695e-49	0	RPL13
1.78004376410024e-52	0.817219217945278	1	1	3.02251431144221e-48	0	RPL10
2.76306921517759e-52	1.0236708667424	0.778	0.24	4.69169152737154e-48	0	CAMK4
7.20705675431486e-52	0.918119691774617	1	0.964	1.22375823688266e-47	0	EEF1B2
4.10477646848116e-51	0.804109883105523	1	0.997	6.969910443481e-47	0	RPL14
8.8716259824775e-51	0.625849047227066	1	0.998	1.50640209182468e-46	0	EEF1A1
2.82606927226728e-50	0.902505587213088	1	0.979	4.79866562430984e-46	0	RPS5
1.72824247476112e-49	0.709175358578635	1	0.998	2.93455572214438e-45	0	RPL36
2.43154352755408e-48	0.781069667578237	1	0.998	4.12876090978683e-44	0	RPS6
3.19725647588045e-48	0.869908231934737	0.833	0.281	5.428941496045e-44	0	CD27
1.42724429878927e-47	0.659163816758148	1	0.998	2.42346081934418e-43	0	RPL18
1.45216588994074e-47	0.735201179357916	1	1	2.46577768111939e-43	0	TPT1
3.84013796584306e-47	0.699017372665445	1	0.998	6.52055426600152e-43	0	RPS16
