genes;avg_log2FC;p_val;adj.P.Val;pct.1;pct.2;tested_cluster;control_cluster;min.pct
S100A8;4,6909966697388;1,58466977168093e-123;2,16592664393349e-119;1;0,162;0;All_Others;0,75
S100A12;4,86862650642389;3,31693831093789e-119;4,5335912833899e-115;0,944;0,11;0;All_Others;0,75
S100A9;3,85229481595878;7,30543295241378e-114;9,98506575935916e-110;0,994;0,17;0;All_Others;0,75
VCAN;3,58833846313541;2,91779044906441e-112;3,98803598578123e-108;0,994;0,154;0;All_Others;0,75
LYZ;3,15099108548538;2,50930842896502e-107;3,42972276070939e-103;0,994;0,16;0;All_Others;0,75
MNDA;3,41583220011606;5,11895959072945e-97;6,99659396860902e-93;0,933;0,152;0;All_Others;0,75
FCN1;2,84242573063183;3,76032266901766e-95;5,13960902401334e-91;0,983;0,152;0;All_Others;0,75
CSF3R;3,47476539878418;1,96993500120814e-91;2,69250715965129e-87;0,888;0,138;0;All_Others;0,75
FOS;3,13797579807998;1,37749079169984e-85;1,88275441409534e-81;1;0,468;0;All_Others;0,75
SLC11A1;3,99179173307463;4,21367955067609e-84;5,75925720986407e-80;0,792;0,11;0;All_Others;0,75
CTSD;3,48824447415554;1,36227730473834e-81;1,86196062011636e-77;0,843;0,159;0;All_Others;0,75
CD14;3,01113518087995;9,34818455189289e-79;1,27770986455272e-74;0,826;0,123;0;All_Others;0,75
CEBPD;2,77971979215213;5,36924485917386e-78;7,33868387351883e-74;0,933;0,233;0;All_Others;0,75
TYROBP;2,34357966919386;6,62091488425318e-77;9,04946646379725e-73;0,989;0,23;0;All_Others;0,75
CSTA;3,20854953892878;1,24943263241825e-75;1,70772452198927e-71;0,803;0,129;0;All_Others;0,75
S100A6;2,54042643231894;1,31587604227795e-75;1,7985393745855e-71;0,989;0,848;0;All_Others;0,75
CST3;2,06433731512179;1,44303539433006e-73;1,97234077697032e-69;0,989;0,191;0;All_Others;0,75
AIF1;2,42339049733446;1,82736674832447e-72;2,49764487160988e-68;0,978;0,35;0;All_Others;0,75
CD36;2,95579719376725;3,76487871523623e-71;5,14583622798488e-67;0,787;0,134;0;All_Others;0,75
TSPO;2,36994328487064;2,39397534176073e-70;3,27208549711856e-66;0,972;0,642;0;All_Others;0,75
SPI1;2,35698878565591;6,43294735981322e-70;8,79255245139271e-66;0,921;0,212;0;All_Others;0,75
TYMP;2,41404859854899;7,95336773727242e-70;1,08706630233039e-65;0,944;0,263;0;All_Others;0,75
LGALS1;2,37140773500255;2,53880202903416e-69;3,47003461328389e-65;0,949;0,302;0;All_Others;0,75
S100A4;2,05247615635915;5,43254557175617e-69;7,42520328747633e-65;0,994;0,695;0;All_Others;0,75
CTSS;2,36190983469554;1,9045749852661e-68;2,60317308986171e-64;0,978;0,42;0;All_Others;0,75
MS4A6A;2,63840778243703;3,39070514447396e-68;4,63441579146701e-64;0,815;0,137;0;All_Others;0,75
LST1;2,34538835371042;7,72239830612636e-68;1,05549740048135e-63;0,893;0,218;0;All_Others;0,75
FTL;2,00905482777986;4,63733333956284e-67;6,33830720851449e-63;0,994;0,964;0;All_Others;0,75
S100A11;2,28226718654877;1,74004398340177e-66;2,37829211651354e-62;0,983;0,571;0;All_Others;0,75
SERPINA1;2,31333813813459;1,16828789512249e-65;1,59681589505342e-61;0,831;0,142;0;All_Others;0,75
TNFAIP2;2,64790358978284;1,36640904931324e-65;1,86760788860134e-61;0,798;0,151;0;All_Others;0,75
CYBB;2,47993702026522;7,06318141980059e-65;9,65395636458345e-61;0,882;0,224;0;All_Others;0,75
GPX1;1,72274010845997;1,06239021359043e-64;1,4520749439354e-60;0,989;0,524;0;All_Others;0,75
LILRB2;2,58950306929968;2,60221090246662e-63;3,55670186149138e-59;0,787;0,151;0;All_Others;0,75
PGD;3,11125156781251;3,19894375647275e-62;4,37231632634695e-58;0,781;0,205;0;All_Others;0,75
STXBP2;2,89338843215295;8,30520476735531e-62;1,13515538760212e-57;0,815;0,222;0;All_Others;0,75
DUSP1;2,20750425228968;2,22249160140699e-60;3,03770152080307e-56;0,972;0,538;0;All_Others;0,75
APLP2;2,57637553409939;2,80983009091909e-59;3,84047576826821e-55;0,837;0,271;0;All_Others;0,75
MPEG1;2,63530614434851;1,56451268172837e-58;2,13837593338634e-54;0,764;0,16;0;All_Others;0,75
HCK;2,38006335971342;6,17664963083895e-57;8,44224471543067e-53;0,758;0,154;0;All_Others;0,75
PSAP;1,80551363584763;6,58551268586709e-57;9,00107873904314e-53;0,983;0,61;0;All_Others;0,75
TALDO1;2,26076293946875;7,98312508427384e-56;1,09113353651855e-51;0,893;0,46;0;All_Others;0,75
BRI3;2,25912860430444;1,75774940321561e-55;2,40249188431509e-51;0,899;0,428;0;All_Others;0,75
ATP5F1E;1,08705410686295;1,63341709844281e-54;2,23255449015164e-50;0,994;0,955;0;All_Others;0,75
GRN;2,27476813486185;1,70256253769118e-53;2,3270624765163e-49;0,82;0,263;0;All_Others;0,75
CD68;2,26718051194828;6,77173442114159e-53;9,25560660681632e-49;0,758;0,163;0;All_Others;0,75
GAPDH;1,39104725655097;9,48666674538563e-53;1,29663761075931e-48;0,983;0,893;0;All_Others;0,75
FGF23;1,96746735469461;6,22743623465906e-52;8,511659845532e-48;0,949;0,673;0;All_Others;0,75
FGR;2,09399973608309;2,66329923354062e-51;3,64019739240332e-47;0,843;0,235;0;All_Others;0,75
COTL1;1,58403048902277;9,37687081213181e-50;1,28163070260218e-45;0,972;0,655;0;All_Others;0,75
GSTP1;1,866802968203;1,02556110785902e-49;1,4017369222217e-45;0,927;0,537;0;All_Others;0,75
FTH1;1,23411832877775;2,52749347694877e-49;3,45457808429358e-45;0,994;0,967;0;All_Others;0,75
OAZ1;1,14878416430496;8,61385245613127e-48;1,17734135370402e-43;0,978;0,91;0;All_Others;0,75
FCER1G;1,66619808134646;2,03792888235675e-47;2,7854411964052e-43;0,888;0,25;0;All_Others;0,75
AL359976.1;1,92068684238312;2,13184541384517e-47;2,91380631164357e-43;0,927;0,515;0;All_Others;0,75
FOSB;2,55170698559364;1,83765266054e-46;2,51170365642607e-42;0,803;0,393;0;All_Others;0,75
MYO1F;2,18753878100498;2,1863047346165e-46;2,98824131127383e-42;0,803;0,285;0;All_Others;0,75
RNF130;2,28776402951793;4,38393574984611e-46;5,99196338288967e-42;0,77;0,246;0;All_Others;0,75
S100A10;1,63491814570195;1,15297431259798e-45;1,57588529045892e-41;0,955;0,768;0;All_Others;0,75
MT-ND2;1,0554941904173;3,50782119208659e-44;4,79449000534395e-40;0,994;0,995;0;All_Others;0,75
SH3BGRL3;1,11585146848542;9,50050717720626e-44;1,29852932098055e-39;0,994;0,93;0;All_Others;0,75
SAT1;1,61374377129547;2,73199119299991e-42;3,73408556259228e-38;0,916;0,546;0;All_Others;0,75
ANXA2;1,87140698275081;1,9110455684127e-41;2,61201708290648e-37;0,815;0,313;0;All_Others;0,75
TKT;1,93738162854803;5,76988230511021e-41;7,88627513462464e-37;0,86;0,579;0;All_Others;0,75
ANXA5;1,93450708573916;9,39042915267567e-40;1,28348385658771e-35;0,775;0,28;0;All_Others;0,75
IL17RA;2,0922817006901;1,13505380677338e-39;1,55139154309785e-35;0,787;0,4;0;All_Others;0,75
KLF6;1,61664815950786;3,16104353489402e-38;4,32051430349315e-34;0,91;0,628;0;All_Others;0,75
MCL1;1,83174221038856;7,50421942180485e-38;1,02567671057229e-33;0,843;0,538;0;All_Others;0,75
AHNAK;1,57960580016649;7,6605523300779e-38;1,04704429247505e-33;0,921;0,515;0;All_Others;0,75
ELOB;1,40143730893678;4,08965354160581e-35;5,58973846066681e-31;0,921;0,799;0;All_Others;0,75
MYL6;0,967356907469396;4,59024307847662e-35;6,27394423966185e-31;0,961;0,916;0;All_Others;0,75
PYCARD;1,90316221590569;4,65431618007487e-35;6,36151935492633e-31;0,781;0,361;0;All_Others;0,75
AP2S1;1,73559390071497;5,33412468549434e-35;7,29068162013366e-31;0,803;0,439;0;All_Others;0,75
MT-ND4;0,871813234256409;7,17079804426425e-35;9,80104676690038e-31;1;0,995;0;All_Others;0,75
JAML;1,9050881176296;1,48423475539702e-34;2,02865206367664e-30;0,77;0,314;0;All_Others;0,75
